State,CMS Certification Number (CCN)*,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,How often the home health team began their patients care in a timely manner,How often the home health team taught patients (or their family caregivers) about their drugs,How often the home health team checked patients risk of falling,How often the home health team checked patients for depression,How often the home health team made sure that their patients have received a flu shot for the current flu season.,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot).,With diabetes - how often the home health team got doctors orders and gave foot care and taught patients about foot care,How often the home health team checked patients for pain,How often the home health team treated their patients pain,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores),How often the home health team checked patients for the risk of developing pressure sores (bed sores),Count of non-reported behaviours,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients had less pain when moving around,How often patients breathing improved,How often patients wounds improved or healed after an operation,How often patients got better at taking their drugs correctly by mouth,How often patients receiving home health care needed urgent unplanned care in the ER without being admitted,How often home health patients had to be admitted to the hospital,Count of non-reported outcomes,Non-trad Chronic,Lbl: Poor Hosp Rating 1SD,Lbl: Poor Hosp Rating 2SD,Lbl: Poor ER Rating 1SD,Lbl: Poor ER Rating 2SD,Lbl: Poor Pain Rating 1SD,Lbl: Poor Pain Rating 2SD,Lbl: Poor Drugs Rating 1SD,Lbl: Poor Drugs Rating 2SD
2,17027,DECATUR,35603,2563504182,2,1,1,1,1,1,1,07/25/1979,98,94,100,99,86,84,96,100,97,96,100,0,74,66,81,72,69,97,66,13,14,0,0,0,0,0,0,0,0,0,0
2,17028,FULTONDALE,35068,2057837900,2,1,1,1,1,1,1,06/01/1979,88,91,99,89,84,88,90,99,94,96,99,0,60,54,68,61,69,98,57,9,17,0,0,0,0,0,0,0,0,0,0
2,17034,FAIR HOPE,36532,2516214431,3,1,1,1,1,1,1,05/26/1981,97,96,95,99,69,71,99,99,100,99,100,0,67,60,74,76,69,87,54,10,15,0,0,0,0,0,0,0,0,0,0
2,17035,MOBILE,36609,2514503300,2,1,1,1,1,1,1,08/20/1981,93,82,100,97,68,64,83,99,93,82,99,0,68,60,75,77,70,89,62,6,21,0,0,1,0,0,0,0,0,0,0
2,17037,MONTGOMERY,36109,3343955100,2,1,1,1,1,0,1,10/01/1981,84,36,100,75,42,38,75,94,87,72,98,0,62,59,72,66,64,91,61,10,20,0,0,1,0,0,0,0,0,0,0
2,17039,HUNTSVILLE,35806,2569229919,2,1,1,1,1,1,1,08/05/1982,92,99,73,100,53,49,94,95,100,99,100,0,69,58,76,81,81,95,64,12,16,0,0,0,0,0,0,0,0,0,0
2,17041,VESTAVIA HILLS,35216,2059793180,2,1,1,1,1,1,1,08/04/1982,89,70,100,97,80,68,94,99,96,93,98,0,48,49,58,56,62,,44,8,15,1,1,0,0,0,0,0,0,0,0
2,17048,GENEVA,36340,3346843919,2,1,1,1,1,0,1,12/08/1983,99,94,100,100,70,67,91,99,99,90,100,0,57,47,69,73,66,88,51,14,17,0,1,0,0,0,0,0,0,0,0
2,17050,HUNTSVILLE,35816,2565394457,2,1,1,1,0,1,1,10/19/1983,77,98,100,100,87,77,100,100,100,100,99,0,60,43,58,68,57,99,57,13,11,0,1,0,0,0,0,0,0,0,0
2,17051,HOMEWOOD,35209,2058680147,2,1,1,1,1,1,1,06/01/1984,86,85,95,100,70,71,95,100,98,99,100,0,58,52,70,71,77,90,54,12,16,0,0,0,0,0,0,0,0,0,0
2,17052,FOLEY,36535,2519433002,2,1,1,1,1,1,1,09/20/1984,94,92,100,99,76,77,96,99,98,94,98,0,66,66,75,70,72,89,61,14,14,0,0,0,0,0,0,0,0,0,0
2,17053,DOTHAN,36305,3347935758,2,1,1,1,1,1,1,08/20/1984,95,94,93,98,66,66,93,100,99,95,100,0,72,68,75,62,75,89,58,14,17,0,0,0,0,0,0,0,0,0,0
2,17054,BIRMINGHAM,35235,2058360777,2,1,1,1,1,1,1,09/04/1984,94,90,100,99,73,82,98,99,99,98,100,0,63,58,69,70,67,80,52,11,17,0,0,0,0,0,0,0,0,0,0
2,17055,PRATTVILLE,36066,3343619806,2,1,1,1,1,1,1,06/08/1984,96,92,100,100,88,82,74,100,99,84,100,0,70,72,80,75,81,93,68,12,17,0,1,0,0,0,0,0,0,0,0
2,17056,PIKE ROAD,36064,3342701151,2,1,1,1,1,1,1,12/03/1984,87,97,100,96,75,68,72,99,91,79,100,0,69,60,75,80,75,92,64,11,17,0,0,0,0,0,0,0,0,0,0
2,17058,DAPHNE,36526,2516210882,2,1,1,1,1,1,1,10/25/1984,92,90,100,99,52,59,83,99,98,88,96,0,62,55,80,73,68,82,57,9,19,0,0,0,0,0,0,0,0,0,0
2,17063,MOUNTAIN BROOK,35213,2058773403,2,1,1,1,1,1,1,12/05/1985,82,72,94,99,67,71,87,98,94,94,98,0,61,54,65,61,50,98,53,11,18,0,0,0,0,0,0,0,0,0,0
2,17066,MOBILE,36607,2514338172,2,1,1,1,1,1,1,02/24/1986,96,98,100,100,70,71,100,100,100,100,100,0,59,53,68,62,53,97,52,9,21,0,0,1,0,0,0,0,0,0,0
2,17067,MONTGOMERY,36117,3342707913,2,1,1,1,1,1,1,05/09/1986,90,60,99,96,56,51,84,98,92,81,95,0,67,60,67,79,81,96,53,11,18,0,0,0,0,0,0,0,0,0,0
2,17069,FOLEY,36535,2519711436,2,1,1,1,1,1,1,07/01/1986,95,88,94,99,58,57,99,100,100,100,100,0,69,62,77,77,75,93,64,13,17,0,0,0,0,0,0,0,0,0,0
2,17070,CITRONELLE,36522,2518663261,2,1,1,1,1,1,1,07/01/1986,99,93,82,99,80,79,98,90,100,98,99,0,66,57,72,61,62,93,63,8,16,0,0,0,0,0,0,0,0,0,0
2,17071,MOULTON,35650,2057397800,2,1,1,1,1,1,1,08/21/1986,96,96,100,99,70,75,92,99,96,93,99,0,71,65,77,65,68,90,61,12,18,0,0,0,0,0,0,0,0,0,0
2,17072,GREENVILLE,36037,3343822042,2,1,1,0,1,0,1,02/05/1987,97,89,95,99,76,79,92,100,98,94,100,0,72,58,72,65,65,93,66,16,11,0,0,0,0,0,0,0,0,0,0
2,17078,REFORM,35481,2053759255,2,1,1,1,1,0,1,06/12/1990,93,93,95,99,79,81,97,99,100,99,100,0,75,62,71,71,73,90,66,10,21,0,0,1,0,0,0,0,0,0,0
2,17079,VERNON,35592,2056956736,2,1,1,0,0,0,1,12/21/1990,75,99,100,100,100,100,100,99,100,100,100,0,45,62,62,66,53,,47,15,16,1,1,0,0,0,0,0,0,0,0
2,17080,TUSCALOOSA,35401,2057597010,4,1,1,1,1,1,1,05/02/1991,72,97,100,100,80,84,100,99,100,100,99,0,70,60,71,76,72,100,61,10,15,0,0,0,0,0,0,0,0,0,0
2,17082,CENTREVILLE,35042,2059263211,2,1,1,0,0,0,1,11/07/1991,97,96,100,100,80,62,100,100,100,100,100,0,54,52,58,46,39,,56,4,11,1,1,0,0,0,0,1,0,0,0
2,17084,SELMA,36701,3348726637,2,1,1,1,1,1,1,11/21/1991,96,92,98,100,85,86,96,97,96,82,95,0,73,71,76,93,93,94,63,9,19,0,1,0,0,0,0,0,0,0,0
2,17085,SYLACAUGA,35150,2562080087,2,1,1,1,0,1,1,12/05/1991,91,73,100,100,46,46,88,100,92,67,99,0,68,66,70,72,66,86,61,11,20,0,0,1,0,0,0,0,0,0,0
2,17086,CAMDEN,36726,3346829050,2,1,1,0,0,1,1,01/09/1992,95,88,100,98,44,45,97,100,98,94,99,0,65,40,60,62,70,93,48,22,12,0,0,0,0,1,1,0,0,0,0
2,17088,FAYETTE,35555,2059325961,2,1,1,1,1,1,1,12/18/1991,95,81,100,97,70,64,95,99,96,94,99,0,75,62,76,55,61,100,60,18,16,0,0,0,0,1,0,0,0,0,0
2,17089,CULLMAN,35058,2567372831,7,1,1,1,0,1,1,06/11/1992,96,97,99,100,79,85,100,100,99,100,100,0,56,71,62,51,61,91,52,16,13,0,0,0,0,0,0,0,0,0,0
2,17090,GILBERTOWN,36908,2518432808,2,1,1,0,0,0,1,06/10/1992,98,97,100,99,83,80,98,100,99,91,100,0,55,55,62,63,68,98,51,16,16,0,0,0,0,0,0,0,0,0,0
2,17091,GREENSBORO,36744,3346243066,1,1,1,1,1,0,1,06/18/1992,99,100,100,100,65,41,99,100,100,99,99,0,100,89,100,96,100,,96,16,18,1,1,0,0,0,0,0,0,0,0
2,17092,CARROLLTON,35447,2053678111,7,1,1,0,1,0,1,07/01/1992,98,100,100,100,88,88,100,100,100,100,98,0,46,35,50,69,40,100,35,15,15,0,1,0,0,0,0,0,0,0,0
2,17093,FORT PAYNE,35968,2565242411,2,1,1,1,1,1,1,07/30/1992,99,98,100,100,98,100,99,100,100,100,100,0,90,83,94,89,81,95,83,16,21,0,1,1,0,0,0,0,0,0,0
2,17094,CENTRE,35960,2569271144,2,1,1,1,0,1,1,08/13/1992,97,96,100,97,86,92,100,100,99,100,100,0,77,60,81,61,39,,50,11,17,1,1,0,0,0,0,0,0,0,0
2,17095,ATHENS,35611,2562339533,2,1,1,1,1,1,1,08/12/1992,93,74,100,98,87,74,90,100,93,88,99,0,80,68,84,76,75,92,71,11,16,0,0,0,0,0,0,0,0,0,0
2,17096,TROY,36081,3346705257,5,1,1,1,1,0,1,10/27/1992,98,99,98,100,70,70,99,100,100,100,100,0,63,61,70,60,68,91,58,18,21,0,1,1,0,1,0,0,0,0,0
2,17097,ASHLAND,36251,2563540077,2,1,1,1,0,0,1,10/27/1992,92,73,100,97,69,68,89,100,93,85,99,0,79,77,79,76,71,,64,11,17,1,1,0,0,0,0,0,0,0,0
2,17100,HAMILTON,35570,2059216387,2,1,1,1,1,1,1,10/29/1992,96,96,100,96,63,65,98,100,97,91,99,0,68,65,73,65,49,,55,13,16,1,1,0,0,0,0,0,0,0,0
2,17101,YORK,36925,2053925263,2,1,1,1,1,0,1,12/09/1992,76,100,100,99,34,31,99,99,100,100,93,0,44,27,35,33,31,,33,14,11,1,1,0,0,0,0,1,0,1,0
2,17102,EUTAW,35462,2053723399,2,1,1,1,1,0,1,12/17/1992,97,91,100,98,60,52,99,100,99,97,100,0,85,83,83,96,88,,69,15,13,1,1,0,0,0,0,0,0,0,0
2,17103,DEMOPOLIS,36732,3342890701,6,1,1,1,0,0,1,12/23/1992,87,98,100,100,51,33,99,99,100,100,97,0,51,47,61,61,77,100,52,12,16,0,1,0,0,0,0,0,0,0,0
2,17104,SCOTTSBORO,35768,2562594840,4,1,1,1,1,0,1,01/13/1993,99,99,100,100,70,78,100,100,100,100,98,0,61,53,66,56,58,90,43,10,18,0,0,0,0,0,0,0,0,0,0
2,17106,EVERGREEN,36401,2515786800,2,1,1,0,0,0,1,01/12/1993,91,99,100,100,84,93,99,100,100,100,99,0,88,68,83,40,34,,74,15,26,1,1,1,1,0,0,1,0,0,0
2,17107,CLANTON,35045,2052804663,2,1,1,1,1,1,1,05/24/1993,94,98,99,97,80,82,97,99,100,100,100,0,75,64,77,63,71,93,55,10,17,0,0,0,0,0,0,0,0,0,0
2,17109,HALEYVILLE,35565,2054857341,2,1,1,1,0,0,1,06/23/1993,99,88,99,100,58,71,94,100,93,94,100,0,49,28,51,44,38,100,28,9,21,0,0,1,0,0,0,1,0,1,0
2,17112,JACKSON,36545,2512470424,2,1,1,0,1,0,1,06/29/1993,100,99,100,99,85,79,100,100,100,99,100,0,68,58,61,73,71,,52,11,20,1,1,1,0,0,0,0,0,0,0
2,17115,ATTALLA,35954,2565382273,2,1,1,1,1,1,1,07/27/1993,99,99,99,100,96,95,97,100,100,99,100,0,67,59,73,64,69,97,47,8,17,0,0,0,0,0,0,0,0,0,0
2,17116,WETUMPKA,36092,3345677710,2,1,1,1,1,0,1,07/26/1993,83,96,99,98,60,64,98,100,100,94,98,0,56,48,66,69,59,94,58,13,16,0,1,0,0,0,0,0,0,0,0
2,17117,DADEVILLE,36853,2568257050,2,1,1,1,1,0,1,07/29/1993,91,94,99,99,63,73,85,99,95,83,99,0,74,56,76,71,61,85,58,15,15,0,0,0,0,0,0,0,0,0,0
2,17118,MOULTON,35650,2569742200,2,1,1,1,1,1,1,08/17/1993,96,90,91,99,68,69,90,98,96,97,100,0,58,43,69,57,62,96,61,9,20,0,0,1,0,0,0,0,0,0,0
2,17119,HUNTSVILLE,35806,2569226650,2,1,1,1,1,1,1,09/20/1993,95,78,100,97,70,61,90,99,93,88,99,0,63,57,68,61,65,95,58,12,16,0,0,0,0,0,0,0,0,0,0
2,17121,ANDALUSIA,36420,3342222172,2,1,1,1,1,0,1,09/27/1993,93,95,100,100,86,87,92,100,100,95,99,0,63,57,67,58,66,94,60,13,20,0,0,1,0,0,0,0,0,0,0
2,17123,VALLEY,36854,3347561950,4,1,1,1,1,1,1,10/21/1993,93,54,100,94,73,72,87,99,96,87,99,0,68,56,73,76,64,91,57,12,16,0,0,0,0,0,0,0,0,0,0
2,17124,OZARK,36360,3347740750,7,1,1,0,0,1,1,10/20/1993,98,96,100,100,76,78,82,100,87,85,99,0,74,77,70,87,78,,51,12,21,1,1,1,0,0,0,0,0,0,0
2,17125,RED BAY,35582,2563568160,2,1,1,1,1,1,1,01/20/1994,93,81,100,95,75,67,93,99,95,89,98,0,67,57,65,61,61,100,59,12,15,0,0,0,0,0,0,0,0,0,0
2,17127,FOLEY,36535,2514241045,1,1,1,1,1,1,1,02/15/1994,96,99,100,97,78,87,99,99,100,96,100,0,69,65,81,71,70,98,58,10,18,0,0,0,0,0,0,0,0,0,0
2,17128,GUNTERSVILLE,35976,2568785811,2,1,1,1,1,1,1,02/03/1994,99,96,100,100,98,96,98,100,98,97,100,0,79,75,84,76,70,95,70,13,16,0,0,0,0,0,0,0,0,0,0
2,17129,AUBURN,36830,3348263131,2,1,1,1,1,1,1,03/31/1994,89,70,99,97,51,50,84,99,95,87,99,0,67,60,70,74,72,98,58,11,16,0,0,0,0,0,0,0,0,0,0
2,17130,GROVE HILL,36451,2512753136,2,1,1,1,1,1,1,04/13/1994,98,82,100,98,79,73,93,99,98,89,100,0,76,63,80,81,72,91,62,13,15,0,0,0,0,0,0,0,0,0,0
2,17132,ONEONTA,35121,2052740720,2,1,1,1,1,1,1,06/15/1994,94,100,99,98,97,99,100,100,99,97,99,0,66,68,90,65,83,,76,12,17,1,1,0,0,0,0,0,0,0,0
2,17134,OPP,36467,3344932087,2,1,1,1,1,1,1,06/14/1994,99,89,100,99,86,86,94,100,97,93,100,0,81,65,89,87,79,93,74,13,18,0,0,0,0,0,0,0,0,0,0
2,17135,TALLASSEE,36078,3342836541,4,1,1,1,1,1,1,09/27/1994,94,99,100,100,73,75,96,100,100,100,100,0,53,52,56,61,67,98,46,9,21,0,0,1,0,0,0,0,0,0,0
2,17136,GEORGIANA,36033,3343762286,2,1,1,0,0,1,1,09/26/1994,90,85,100,100,81,87,97,100,100,93,95,0,69,43,77,75,63,,55,12,15,1,1,0,0,0,0,0,0,0,0
2,17138,GREENVILLE,36037,3343832286,2,1,1,0,0,1,1,10/18/1994,99,99,100,100,93,95,99,100,100,99,100,0,58,44,62,46,28,92,47,15,17,0,0,0,0,0,0,1,0,0,0
2,17139,UNION SPRINGS,36089,3347384155,2,1,1,0,0,0,1,12/12/1994,100,93,98,98,94,27,85,100,100,90,98,0,77,55,61,40,65,,57,14,20,1,1,1,0,0,0,1,0,0,0
2,17140,LUVERNE,36049,3343353374,2,1,1,0,0,0,1,12/28/1994,99,99,100,100,84,80,98,100,100,100,100,0,67,76,76,75,67,97,50,13,15,0,1,0,0,0,0,0,0,0,0
2,17142,ATMORE,36502,2513686286,7,1,1,0,0,0,1,02/13/1995,89,95,100,100,51,56,100,100,100,100,100,0,61,59,62,44,42,,49,17,17,1,1,0,0,1,0,1,0,0,0
2,17143,BREWTON,36426,2518675054,2,1,1,1,1,1,1,01/23/1995,94,82,99,97,84,79,93,99,95,84,98,0,71,60,79,63,44,99,68,16,20,0,0,1,0,0,0,0,0,0,0
2,17145,PELL CITY,35128,2058847202,2,1,1,1,1,1,1,11/29/1995,98,98,100,99,80,85,93,100,98,96,100,0,61,56,71,72,53,92,48,12,15,0,0,0,0,0,0,0,0,0,0
2,17146,RUSSELLVILLE,35653,2563310006,2,1,1,0,0,0,1,10/01/1998,99,89,100,100,65,50,99,100,100,100,100,0,73,69,61,38,44,,66,10,16,1,1,0,0,0,0,1,0,0,0
2,17147,OPELIKA,36801,3347457966,2,1,1,1,1,1,1,02/18/1999,89,91,100,100,78,77,90,99,99,91,99,0,65,54,69,56,57,85,51,13,18,0,1,0,0,0,0,0,0,0,0
2,17148,FAIRHOPE,36532,2516251520,2,1,1,1,1,1,1,04/13/2000,93,90,100,97,66,61,94,100,97,93,98,0,65,60,71,57,50,95,54,9,16,0,0,0,0,0,0,0,0,0,0
2,17149,HOOVER,35242,2053132800,2,1,1,1,1,1,1,07/12/2000,96,98,100,99,73,76,88,99,97,91,100,0,59,56,67,72,52,88,48,12,15,0,0,0,0,0,0,0,0,0,0
2,17151,ANNISTON,36207,2568357101,2,1,1,1,1,1,1,10/05/2000,94,85,100,98,82,89,72,100,89,86,100,0,70,61,75,76,70,87,62,11,21,0,0,1,0,0,0,0,0,0,0
2,17152,SYLACAUGA,35150,2562494363,2,1,1,1,1,1,1,10/05/2000,95,99,100,100,84,80,99,100,100,99,99,0,66,71,76,80,75,89,69,14,9,0,1,0,0,0,0,0,0,0,0
2,17153,ALABASTER,35007,2056850421,2,1,1,1,1,1,1,03/20/2002,91,96,99,99,85,88,97,99,97,96,99,0,57,49,63,58,53,77,43,11,16,0,0,0,0,0,0,0,0,0,0
2,17154,TRUSSVILLE,35173,2056553707,2,1,1,1,1,1,1,02/20/2003,94,80,99,99,55,56,98,100,100,93,99,0,68,61,77,72,76,96,64,8,21,0,0,1,0,0,0,0,0,0,0
2,17155,MOBILE,36609,2513410707,2,1,1,1,1,1,1,02/05/2004,91,95,100,100,66,66,88,100,97,89,100,0,75,70,81,77,73,94,63,9,19,0,0,0,0,0,0,0,0,0,0
2,17156,TALLADEGA,35160,2567614363,3,1,1,1,1,1,1,08/25/2004,93,91,100,100,75,72,100,98,99,99,99,0,82,66,89,87,84,97,74,11,20,0,0,1,0,0,0,0,0,0,0
2,17157,OPELIKA,36801,3348877234,2,1,1,1,1,1,1,03/09/2006,96,85,91,99,61,72,95,99,100,100,99,0,63,63,68,66,69,88,58,13,17,0,0,0,0,0,0,0,0,0,0
2,17158,FORT PAYNE,35967,2568448303,2,1,1,1,1,1,1,07/11/2006,97,89,98,98,90,91,96,99,100,99,100,0,73,63,77,68,65,98,61,12,18,0,0,0,0,0,0,0,0,0,0
2,17159,OZARK,36360,3347740370,2,1,1,0,1,1,1,07/26/2006,97,97,74,99,61,56,97,99,100,100,100,0,64,56,74,67,66,92,60,14,18,0,0,0,0,0,0,0,0,0,0
2,17160,VALLEY,36854,3347566225,2,1,1,1,0,0,1,09/13/2006,92,95,95,99,69,64,93,100,99,95,100,0,59,58,68,67,67,87,58,8,19,0,0,0,0,0,0,0,0,0,0
2,17161,HUNTSVILLE,35801,2568813266,2,1,1,1,1,1,1,03/15/2007,93,92,100,93,69,68,94,99,97,96,99,0,66,59,73,76,74,88,64,13,16,0,0,0,0,0,0,0,0,0,0
2,17163,MONROEVILLE,36460,2515759195,2,1,1,0,1,1,1,04/12/2007,96,96,94,99,95,93,100,100,100,100,100,0,82,58,90,76,90,87,78,16,20,0,0,1,0,0,0,0,0,0,0
2,17164,DOTHAN,36303,3349442290,2,1,1,1,1,1,1,02/27/2008,98,96,100,100,70,75,97,99,100,98,100,0,62,56,68,62,65,89,55,12,20,0,0,1,0,0,0,0,0,0,0
2,17165,FLORENCE,35630,2567661817,2,1,1,1,1,1,1,04/10/2008,93,96,79,97,75,56,98,88,100,100,99,0,75,64,83,69,74,86,64,12,16,0,0,0,0,0,0,0,0,0,0
2,17166,CLANTON,35045,2057559926,2,1,1,1,1,1,1,05/11/2009,89,93,100,99,78,85,95,100,100,91,99,0,64,65,65,68,65,83,50,8,15,0,0,0,0,0,0,0,0,0,0
2,17167,PELL CITY,35125,2053388440,2,1,1,1,1,1,1,05/20/2009,91,96,100,100,84,89,96,100,99,89,100,0,62,50,67,62,77,93,53,12,13,0,1,0,0,0,0,0,0,0,0
2,17168,MOBILE,36609,2513160917,2,1,1,1,1,1,1,05/21/2009,94,84,100,100,87,88,92,100,95,86,98,0,64,51,74,66,76,89,54,9,18,0,0,0,0,0,0,0,0,0,0
2,17169,VANCE,35490,2055629615,2,1,1,1,1,1,1,12/15/2010,92,77,100,100,62,57,99,99,100,99,100,0,49,42,53,54,60,94,44,,,2,1,,,,,0,0,0,0
2,17170,JASPER,35501,2052215234,2,1,1,1,1,1,1,09/04/2009,95,89,100,99,84,84,93,100,95,93,100,0,63,49,67,64,59,93,47,12,15,0,0,0,0,0,0,0,0,0,0
2,17171,CULLMAN,35055,2567392992,2,1,1,1,1,1,1,09/02/2009,96,84,100,99,81,88,72,100,86,83,100,0,68,65,77,66,75,87,63,13,11,0,0,0,0,0,0,0,0,0,0
2,17172,CULLMAN,35055,2568414443,2,1,1,1,1,1,1,06/30/2011,90,98,98,100,90,91,97,98,99,98,99,0,63,51,73,72,59,86,59,14,13,0,1,0,0,0,0,0,0,0,0
2,17174,GADSDEN,35903,2564594971,2,1,1,1,1,1,1,03/07/2013,89,98,100,100,61,69,100,100,100,100,99,0,57,49,62,54,44,,39,5,22,1,1,1,0,0,0,0,0,0,0
2,17175,HOMEWOOD,35209,2058771754,2,1,1,1,1,1,1,05/24/2013,86,93,99,98,81,80,97,99,99,99,99,0,64,62,74,66,76,91,61,5,17,0,1,0,0,0,0,0,0,0,0
2,17176,MADISON,35757,2563468223,2,1,1,1,1,0,1,06/12/2013,90,96,100,99,80,68,99,100,100,99,99,0,62,46,61,65,53,68,38,16,10,0,0,0,0,0,0,0,0,0,0
2,17177,FLORENCE,35630,2562469972,2,1,1,1,1,1,1,08/15/2013,96,93,100,100,83,89,64,100,78,67,99,0,75,71,76,63,63,,62,12,16,1,1,0,0,0,0,0,0,0,0
2,17300,TUSCALOOSA,35406,2057520606,2,1,1,1,1,1,1,09/17/1976,92,95,89,99,83,78,91,100,97,93,100,0,69,55,74,68,63,86,59,9,17,0,0,0,0,0,0,0,0,0,0
2,17305,ANNISTON,36205,2568359099,2,1,1,1,1,1,1,09/20/1979,93,91,76,98,67,65,89,99,98,96,100,0,67,55,72,69,66,85,61,13,17,0,0,0,0,0,0,0,0,0,0
2,17307,PHENIX CITY,36867,3342976900,2,1,1,1,1,1,1,05/04/1982,92,98,100,100,26,28,93,98,96,90,100,0,62,58,61,80,69,95,53,12,16,0,1,0,0,0,0,0,0,0,0
2,17319,MONTGOMERY,36109,3342720313,2,1,1,1,1,1,1,02/01/1994,90,91,89,99,61,58,98,99,99,99,100,0,66,61,72,69,70,92,53,10,17,0,0,0,0,0,0,0,0,0,0
2,17320,SELMA,36701,3348752550,2,1,1,1,1,0,1,10/31/1991,94,96,94,99,61,54,98,100,98,98,100,0,72,63,77,75,67,91,60,12,16,0,0,0,0,0,0,0,0,0,0
2,17323,MONROEVILLE,36461,2517437328,1,1,1,1,0,0,1,03/06/1995,95,97,99,98,65,63,92,99,100,99,98,0,61,55,64,65,59,90,52,15,16,0,0,0,0,0,0,0,0,0,0
2,17324,TROY,36081,3345669238,2,1,1,1,1,1,1,11/13/2002,96,98,100,100,75,72,98,100,99,97,100,0,67,62,75,74,76,94,61,12,16,0,0,0,0,0,0,0,0,0,0
2,17326,DECATUR,35601,2563555746,2,1,1,1,1,1,1,10/12/2001,94,98,100,100,77,84,99,100,100,99,100,0,78,79,80,83,78,92,69,12,18,0,0,0,0,0,0,0,0,0,0
2,17327,JASPER,35501,2052952434,2,1,1,1,1,1,1,08/03/2005,94,95,98,100,86,92,99,100,100,99,100,0,68,58,76,62,77,88,60,10,17,0,0,0,0,0,0,0,0,0,0
2,17328,BREWTON,36426,2518091717,2,1,1,1,1,1,1,01/18/2006,98,93,91,95,94,92,97,100,99,99,100,0,75,58,81,82,86,95,67,13,16,0,1,0,0,0,0,0,0,0,0
