State,CMS Certification Number (CCN)*,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,How often the home health team began their patients care in a timely manner,How often the home health team taught patients (or their family caregivers) about their drugs,How often the home health team checked patients risk of falling,How often the home health team checked patients for depression,How often the home health team made sure that their patients have received a flu shot for the current flu season.,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot).,With diabetes - how often the home health team got doctors orders and gave foot care and taught patients about foot care,How often the home health team checked patients for pain,How often the home health team treated their patients pain,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores),How often the home health team checked patients for the risk of developing pressure sores (bed sores),Count of non-reported behaviours,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients had less pain when moving around,How often patients breathing improved,How often patients wounds improved or healed after an operation,How often patients got better at taking their drugs correctly by mouth,How often patients receiving home health care needed urgent unplanned care in the ER without being admitted,How often home health patients had to be admitted to the hospital,Count of non-reported outcomes,Non-trad Chronic,Lbl: Poor Hosp Rating 1SD,Lbl: Poor Hosp Rating 2SD,Lbl: Poor ER Rating 1SD,Lbl: Poor ER Rating 2SD,Lbl: Poor Pain Rating 1SD,Lbl: Poor Pain Rating 2SD,Lbl: Poor Drugs Rating 1SD,Lbl: Poor Drugs Rating 2SD
AL,17123,VALLEY,36854,3347561950,Private,1,1,1,1,1,1,10/21/1993,93,54,100,94,73,72,87,99,96,87,99,0,68,56,73,76,64,91,57,12,16,0,0,0,0,0,0,0,0,0,0
AL,17124,OZARK,36360,3347740750,Other,1,1,0,0,1,1,10/20/1993,98,96,100,100,76,78,82,100,87,85,99,0,74,77,70,87,78,,51,12,21,1,1,1,0,0,0,0,0,0,0
AL,17125,RED BAY,35582,2563568160,Proprietary,1,1,1,1,1,1,01/20/1994,93,81,100,95,75,67,93,99,95,89,98,0,67,57,65,61,61,100,59,12,15,0,0,0,0,0,0,0,0,0,0
AL,17127,FOLEY,36535,2514241045,State/County,1,1,1,1,1,1,02/15/1994,96,99,100,97,78,87,99,99,100,96,100,0,69,65,81,71,70,98,58,10,18,0,0,0,0,0,0,0,0,0,0
AL,17128,GUNTERSVILLE,35976,2568785811,Proprietary,1,1,1,1,1,1,02/03/1994,99,96,100,100,98,96,98,100,98,97,100,0,79,75,84,76,70,95,70,13,16,0,0,0,0,0,0,0,0,0,0
AL,17129,AUBURN,36830,3348263131,Proprietary,1,1,1,1,1,1,03/31/1994,89,70,99,97,51,50,84,99,95,87,99,0,67,60,70,74,72,98,58,11,16,0,0,0,0,0,0,0,0,0,0
AL,17130,GROVE HILL,36451,2512753136,Proprietary,1,1,1,1,1,1,04/13/1994,98,82,100,98,79,73,93,99,98,89,100,0,76,63,80,81,72,91,62,13,15,0,0,0,0,0,0,0,0,0,0
AL,17132,ONEONTA,35121,2052740720,Proprietary,1,1,1,1,1,1,06/15/1994,94,100,99,98,97,99,100,100,99,97,99,0,66,68,90,65,83,,76,12,17,1,1,0,0,0,0,0,0,0,0
AL,17134,OPP,36467,3344932087,Proprietary,1,1,1,1,1,1,06/14/1994,99,89,100,99,86,86,94,100,97,93,100,0,81,65,89,87,79,93,74,13,18,0,0,0,0,0,0,0,0,0,0
AL,17135,TALLASSEE,36078,3342836541,Private,1,1,1,1,1,1,09/27/1994,94,99,100,100,73,75,96,100,100,100,100,0,53,52,56,61,67,98,46,9,21,0,0,1,0,0,0,0,0,0,0
AL,17136,GEORGIANA,36033,3343762286,Proprietary,1,1,0,0,1,1,09/26/1994,90,85,100,100,81,87,97,100,100,93,95,0,69,43,77,75,63,,55,12,15,1,1,0,0,0,0,0,0,0,0
AL,17138,GREENVILLE,36037,3343832286,Proprietary,1,1,0,0,1,1,10/18/1994,99,99,100,100,93,95,99,100,100,99,100,0,58,44,62,46,28,92,47,15,17,0,0,0,0,0,0,1,0,0,0
AL,17139,UNION SPRINGS,36089,3347384155,Proprietary,1,1,0,0,0,1,12/12/1994,100,93,98,98,94,27,85,100,100,90,98,0,77,55,61,40,65,,57,14,20,1,1,1,0,0,0,1,0,0,0
AL,17140,LUVERNE,36049,3343353374,Proprietary,1,1,0,0,0,1,12/28/1994,99,99,100,100,84,80,98,100,100,100,100,0,67,76,76,75,67,97,50,13,15,0,1,0,0,0,0,0,0,0,0
AL,17142,ATMORE,36502,2513686286,Other,1,1,0,0,0,1,02/13/1995,89,95,100,100,51,56,100,100,100,100,100,0,61,59,62,44,42,,49,17,17,1,1,0,0,1,0,1,0,0,0
AL,17143,BREWTON,36426,2518675054,Proprietary,1,1,1,1,1,1,01/23/1995,94,82,99,97,84,79,93,99,95,84,98,0,71,60,79,63,44,99,68,16,20,0,0,1,0,0,0,0,0,0,0
AL,17145,PELL CITY,35128,2058847202,Proprietary,1,1,1,1,1,1,11/29/1995,98,98,100,99,80,85,93,100,98,96,100,0,61,56,71,72,53,92,48,12,15,0,0,0,0,0,0,0,0,0,0
AL,17146,RUSSELLVILLE,35653,2563310006,Proprietary,1,1,0,0,0,1,10/01/1998,99,89,100,100,65,50,99,100,100,100,100,0,73,69,61,38,44,,66,10,16,1,1,0,0,0,0,1,0,0,0
AL,17147,OPELIKA,36801,3347457966,Proprietary,1,1,1,1,1,1,02/18/1999,89,91,100,100,78,77,90,99,99,91,99,0,65,54,69,56,57,85,51,13,18,0,1,0,0,0,0,0,0,0,0
AL,17148,FAIRHOPE,36532,2516251520,Proprietary,1,1,1,1,1,1,04/13/2000,93,90,100,97,66,61,94,100,97,93,98,0,65,60,71,57,50,95,54,9,16,0,0,0,0,0,0,0,0,0,0
AL,17149,HOOVER,35242,2053132800,Proprietary,1,1,1,1,1,1,07/12/2000,96,98,100,99,73,76,88,99,97,91,100,0,59,56,67,72,52,88,48,12,15,0,0,0,0,0,0,0,0,0,0
AL,17151,ANNISTON,36207,2568357101,Proprietary,1,1,1,1,1,1,10/05/2000,94,85,100,98,82,89,72,100,89,86,100,0,70,61,75,76,70,87,62,11,21,0,0,1,0,0,0,0,0,0,0
AL,17152,SYLACAUGA,35150,2562494363,Proprietary,1,1,1,1,1,1,10/05/2000,95,99,100,100,84,80,99,100,100,99,99,0,66,71,76,80,75,89,69,14,9,0,1,0,0,0,0,0,0,0,0
AL,17153,ALABASTER,35007,2056850421,Proprietary,1,1,1,1,1,1,03/20/2002,91,96,99,99,85,88,97,99,97,96,99,0,57,49,63,58,53,77,43,11,16,0,0,0,0,0,0,0,0,0,0
AL,17154,TRUSSVILLE,35173,2056553707,Proprietary,1,1,1,1,1,1,02/20/2003,94,80,99,99,55,56,98,100,100,93,99,0,68,61,77,72,76,96,64,8,21,0,0,1,0,0,0,0,0,0,0
AL,17155,MOBILE,36609,2513410707,Proprietary,1,1,1,1,1,1,02/05/2004,91,95,100,100,66,66,88,100,97,89,100,0,75,70,81,77,73,94,63,9,19,0,0,0,0,0,0,0,0,0,0
AL,17156,TALLADEGA,35160,2567614363,Religious Affiliations,1,1,1,1,1,1,08/25/2004,93,91,100,100,75,72,100,98,99,99,99,0,82,66,89,87,84,97,74,11,20,0,0,1,0,0,0,0,0,0,0
AL,17157,OPELIKA,36801,3348877234,Proprietary,1,1,1,1,1,1,03/09/2006,96,85,91,99,61,72,95,99,100,100,99,0,63,63,68,66,69,88,58,13,17,0,0,0,0,0,0,0,0,0,0
AL,17158,FORT PAYNE,35967,2568448303,Proprietary,1,1,1,1,1,1,07/11/2006,97,89,98,98,90,91,96,99,100,99,100,0,73,63,77,68,65,98,61,12,18,0,0,0,0,0,0,0,0,0,0
AL,17159,OZARK,36360,3347740370,Proprietary,1,1,0,1,1,1,07/26/2006,97,97,74,99,61,56,97,99,100,100,100,0,64,56,74,67,66,92,60,14,18,0,0,0,0,0,0,0,0,0,0
AL,17160,VALLEY,36854,3347566225,Proprietary,1,1,1,0,0,1,09/13/2006,92,95,95,99,69,64,93,100,99,95,100,0,59,58,68,67,67,87,58,8,19,0,0,0,0,0,0,0,0,0,0
AL,17161,HUNTSVILLE,35801,2568813266,Proprietary,1,1,1,1,1,1,03/15/2007,93,92,100,93,69,68,94,99,97,96,99,0,66,59,73,76,74,88,64,13,16,0,0,0,0,0,0,0,0,0,0
AL,17163,MONROEVILLE,36460,2515759195,Proprietary,1,1,0,1,1,1,04/12/2007,96,96,94,99,95,93,100,100,100,100,100,0,82,58,90,76,90,87,78,16,20,0,0,1,0,0,0,0,0,0,0
AL,17164,DOTHAN,36303,3349442290,Proprietary,1,1,1,1,1,1,02/27/2008,98,96,100,100,70,75,97,99,100,98,100,0,62,56,68,62,65,89,55,12,20,0,0,1,0,0,0,0,0,0,0
AL,17165,FLORENCE,35630,2567661817,Proprietary,1,1,1,1,1,1,04/10/2008,93,96,79,97,75,56,98,88,100,100,99,0,75,64,83,69,74,86,64,12,16,0,0,0,0,0,0,0,0,0,0
AL,17166,CLANTON,35045,2057559926,Proprietary,1,1,1,1,1,1,05/11/2009,89,93,100,99,78,85,95,100,100,91,99,0,64,65,65,68,65,83,50,8,15,0,0,0,0,0,0,0,0,0,0
AL,17167,PELL CITY,35125,2053388440,Proprietary,1,1,1,1,1,1,05/20/2009,91,96,100,100,84,89,96,100,99,89,100,0,62,50,67,62,77,93,53,12,13,0,1,0,0,0,0,0,0,0,0
AL,17168,MOBILE,36609,2513160917,Proprietary,1,1,1,1,1,1,05/21/2009,94,84,100,100,87,88,92,100,95,86,98,0,64,51,74,66,76,89,54,9,18,0,0,0,0,0,0,0,0,0,0
AL,17169,VANCE,35490,2055629615,Proprietary,1,1,1,1,1,1,12/15/2010,92,77,100,100,62,57,99,99,100,99,100,0,49,42,53,54,60,94,44,,,2,1,,,,,0,0,0,0
AL,17170,JASPER,35501,2052215234,Proprietary,1,1,1,1,1,1,09/04/2009,95,89,100,99,84,84,93,100,95,93,100,0,63,49,67,64,59,93,47,12,15,0,0,0,0,0,0,0,0,0,0
AL,17171,CULLMAN,35055,2567392992,Proprietary,1,1,1,1,1,1,09/02/2009,96,84,100,99,81,88,72,100,86,83,100,0,68,65,77,66,75,87,63,13,11,0,0,0,0,0,0,0,0,0,0
AL,17172,CULLMAN,35055,2568414443,Proprietary,1,1,1,1,1,1,06/30/2011,90,98,98,100,90,91,97,98,99,98,99,0,63,51,73,72,59,86,59,14,13,0,1,0,0,0,0,0,0,0,0
AL,17174,GADSDEN,35903,2564594971,Proprietary,1,1,1,1,1,1,03/07/2013,89,98,100,100,61,69,100,100,100,100,99,0,57,49,62,54,44,,39,5,22,1,1,1,0,0,0,0,0,0,0
AL,17175,HOMEWOOD,35209,2058771754,Proprietary,1,1,1,1,1,1,05/24/2013,86,93,99,98,81,80,97,99,99,99,99,0,64,62,74,66,76,91,61,5,17,0,1,0,0,0,0,0,0,0,0
AL,17176,MADISON,35757,2563468223,Proprietary,1,1,1,1,0,1,06/12/2013,90,96,100,99,80,68,99,100,100,99,99,0,62,46,61,65,53,68,38,16,10,0,0,0,0,0,0,0,0,0,0
AL,17177,FLORENCE,35630,2562469972,Proprietary,1,1,1,1,1,1,08/15/2013,96,93,100,100,83,89,64,100,78,67,99,0,75,71,76,63,63,,62,12,16,1,1,0,0,0,0,0,0,0,0
AL,17300,TUSCALOOSA,35406,2057520606,Proprietary,1,1,1,1,1,1,09/17/1976,92,95,89,99,83,78,91,100,97,93,100,0,69,55,74,68,63,86,59,9,17,0,0,0,0,0,0,0,0,0,0
AL,17305,ANNISTON,36205,2568359099,Proprietary,1,1,1,1,1,1,09/20/1979,93,91,76,98,67,65,89,99,98,96,100,0,67,55,72,69,66,85,61,13,17,0,0,0,0,0,0,0,0,0,0
AL,17307,PHENIX CITY,36867,3342976900,Proprietary,1,1,1,1,1,1,05/04/1982,92,98,100,100,26,28,93,98,96,90,100,0,62,58,61,80,69,95,53,12,16,0,1,0,0,0,0,0,0,0,0
AL,17319,MONTGOMERY,36109,3342720313,Proprietary,1,1,1,1,1,1,02/01/1994,90,91,89,99,61,58,98,99,99,99,100,0,66,61,72,69,70,92,53,10,17,0,0,0,0,0,0,0,0,0,0
AL,17320,SELMA,36701,3348752550,Proprietary,1,1,1,1,0,1,10/31/1991,94,96,94,99,61,54,98,100,98,98,100,0,72,63,77,75,67,91,60,12,16,0,0,0,0,0,0,0,0,0,0
